case_id,object_id,load_factor,avg_throughput (ops/s),avg_latency (ns/op),avg_real_memory (MB),avg_virtual_memory (MB),avg_virtual_memory_case1 (MB),space_efficiency,throughput_millions
1,7,0.99,11274818.0,88.2,312.368,310.351,310.351,0.8166237582608079,11.274818
1,15,0.05,19649851.7,50.7,257.825,256.00300000000004,256.00300000000004,0.049999414069366366,19.6498517
1,15,0.1,19397296.9,51.2,257.782,256.00300000000004,256.00300000000004,0.09999882813873273,19.397296899999997
1,15,0.15,19303160.4,51.4,257.78200000000004,256.00300000000004,256.00300000000004,0.1499982422080991,19.3031604
1,15,0.2,19087663.1,52.2,257.738,256.00300000000004,256.00300000000004,0.19999765627746546,19.0876631
1,15,0.25,18894100.4,52.3,257.793,256.00300000000004,256.00300000000004,0.24999707034683183,18.8941004
1,15,0.3,18601525.1,53.3,257.82800000000003,256.00300000000004,256.00300000000004,0.2999964844161982,18.6015251
1,15,0.35,18242728.8,54.3,257.839,256.00300000000004,256.00300000000004,0.34999589848556456,18.242728800000002
1,15,0.4,17896406.1,55.3,257.82800000000003,256.00300000000004,256.00300000000004,0.3999953125549309,17.8964061
1,15,0.45,17517470.4,56.6,257.812,256.00300000000004,256.00300000000004,0.4499947266242973,17.517470399999997
1,15,0.5,17147927.7,58.1,257.77299999999997,256.00300000000004,256.00300000000004,0.49999414069366366,17.1479277
1,15,0.55,16614598.0,59.8,257.774,256.00300000000004,256.00300000000004,0.54999355476303,16.614598
1,15,0.6,16111658.5,61.6,257.84,256.00300000000004,256.00300000000004,0.5999929688323964,16.1116585
1,15,0.65,15590484.9,63.6,257.832,256.00300000000004,256.00300000000004,0.6499923829017628,15.5904849
1,15,0.7,14958039.7,66.3,257.85200000000003,256.00300000000004,256.00300000000004,0.6999917969711291,14.958039699999999
1,15,0.75,14357796.3,69.2,257.793,256.00300000000004,256.00300000000004,0.7499912110404955,14.3577963
1,17,0.05,12488923.9,79.5,242.351,240.382,240.382,0.05324857934454327,12.4889239
1,17,0.1,12600447.8,79.0,242.321,240.382,240.382,0.10649715868908655,12.600447800000001
1,17,0.15,12442705.7,79.7,242.375,240.382,240.382,0.1597457380336298,12.4427057
1,17,0.2,11995926.9,83.0,242.398,240.382,240.382,0.2129943173781731,11.9959269
1,17,0.25,11790770.7,84.5,242.43,240.382,240.382,0.26624289672271634,11.7907707
1,17,0.3,11315060.0,89.5,242.32899999999998,240.382,240.382,0.3194914760672596,11.31506
1,17,0.35,11364008.0,87.7,242.254,240.382,240.382,0.37274005541180283,11.364008
1,17,0.4,10809321.0,92.0,242.332,240.382,240.382,0.4259886347563462,10.809321
1,17,0.45,10770266.9,92.2,242.375,240.382,240.382,0.47923721410088943,10.770266900000001
1,17,0.5,10469640.6,95.0,242.25,240.382,240.382,0.5324857934454327,10.4696406
1,17,0.55,10205203.4,97.4,242.34,240.382,240.382,0.585734372789976,10.2052034
1,17,0.6,9957780.4,99.8,242.399,240.382,240.382,0.6389829521345192,9.9577804
1,17,0.65,9665145.4,102.7,242.35899999999998,240.382,240.382,0.6922315314790625,9.6651454
1,17,0.7,9430209.3,105.6,242.399,240.382,240.382,0.7454801108236057,9.430209300000001
1,17,0.75,9252635.3,107.6,242.433,240.382,240.382,0.798728690168149,9.252635300000001
1,17,0.8,8945478.0,111.4,242.375,240.382,240.382,0.8519772695126924,8.945478
1,17,0.85,8740736.9,113.9,242.34,240.382,240.382,0.9052258488572356,8.7407369
1,17,0.9,8525939.6,116.8,242.32000000000002,240.382,240.382,0.9584744282017789,8.5259396
1,17,0.95,8402742.8,118.7,242.37099999999998,240.382,240.382,1.011723007546322,8.4027428
1,17,0.99,8232655.2,120.9,242.386,240.382,240.382,1.0543218710219566,8.2326552
