case_id,object_id,window,throughput (ops/s)
29,18,61,61008000
29,18,62,67568264
29,18,63,60458378
29,18,64,67814066
29,18,65,60262931
29,18,66,67270248
29,18,67,50655797
29,18,68,63214770
29,18,69,38666052
29,18,70,45454348
29,18,71,50778450
29,18,72,61230656
29,18,73,58929399
29,18,74,66208366
29,18,75,3644523
29,18,76,883452
29,18,77,58294649
29,18,78,60090257
29,18,79,61748987
29,18,80,60133333
29,18,81,61365032
29,18,82,60720955
29,18,83,60523809
29,18,84,59241525
29,18,85,61320175
29,18,86,60198062
29,18,87,51749537
29,18,88,61230656
29,18,89,51416487
29,18,90,60047244
29,18,91,51479594
29,18,92,60219669
29,18,93,61208318
29,18,94,59262451
29,18,95,60545651
29,18,96,59430393
29,18,97,60436599
29,18,98,60025760
29,18,99,59346303
29,18,100,59393628
29,21,1,88768253
29,21,2,116024896
29,21,3,85163451
29,21,4,63214770
29,21,5,11940217
29,21,6,93466295
29,21,7,89098247
29,21,8,65896307
29,21,9,77065686
29,21,10,8490915
29,21,11,97997663
29,21,12,95760273
29,21,13,98631393
29,21,14,92182417
29,21,15,90491909
29,21,16,88161849
29,21,17,83844077
29,21,18,81363724
29,21,19,4877943
29,21,20,94626057
29,21,21,96309988
29,21,22,88956521
29,21,23,97940455
29,21,24,98227166
29,21,25,96365307
29,21,26,95162790
29,21,27,92794247
29,21,28,92897009
29,21,29,92334617
29,21,30,81206195
29,21,31,88909379
29,21,32,56565070
29,21,33,53244049
29,21,34,53980694
29,21,35,52184136
29,21,36,51212454
29,21,37,56698884
29,21,38,1631594
29,21,39,76889092
29,21,40,94626057
29,21,41,114833675
29,21,42,101927095
29,21,43,114676691
29,21,44,98689411
29,21,45,114676691
29,21,46,99983313
29,21,47,113130141
29,21,48,101128390
29,21,49,101556900
29,21,50,97315545
29,21,51,112372404
29,21,52,95869714
29,21,53,107684210
29,21,54,95270868
29,21,55,101128390
29,21,56,88956521
29,21,57,64602233
29,21,58,84222891
29,21,59,103435265
29,21,60,89765650
29,21,61,91980263
29,21,62,79399905
29,21,63,96309988
29,21,64,87244929
29,21,65,90834867
29,21,66,85773006
29,21,67,96476135
29,21,68,76924346
29,21,69,93622767
29,21,70,84477341
